MATE,100,Materials for Emerging Technologies,2.00,,,1010,0
MATE,214,Introduction to Polymers,4.00,MATE221 and MATH201 or MATH261 or ENGR231 and CHEM241,,1000,0
MATE,221,Introduction to Mechanical Behavior of Materials,3.00,ENGR220,,0100,0
MATE,221,Introduction to Mechanical Behavior of Materials,3.00,ENGR220,,0100,0
MATE,240,Thermodynamics of Materials,4.00,MATE221 and ENGR210,,1000,0
MATE,245,Kinetics of Materials,4.00,MATE240,,0100,0
MATE,280,Advanced Materials Laboratory,4.00,ENGR220 and ENGR202,,1000,0
MATE,315,Processing Polymers,4.50,MATE214,,0100,0
MATE,341,Defects in Solids,3.00,MATE355,,0100,0
MATE,345,Processing of Ceramics,4.50,MATE355,,0100,0
MATE,355,Structure and Characterization of Crystalline Materials,3.00,ENGR220 and MATE221,,1000,0
MATE,366,Processing of Metallic Materials,4.50,MATE245 and MATE341,,1000,0
MATE,370,Mechanical Behavior of Solids,3.00,MATE221 and ENGR231,,1000,0
MATE,410,Case Studies in Materials,3.00,MATE221,,0010,0
MATE,455,Biomedical Materials,3.00,,,1000,0
MATE,460,Engineering Computational Laboratory,4.00,MATE221 and ENGR232 and MATH200,,1000,0
MATE,491,Senior Project Design I,2.00,,,1000,0
MATE,492,Senior Project Design II,2.00,MATE491,,0100,0
MATE,492,Senior Project Design II,3.00,MATE491,,0100,0
MATE,493,Senior Project Design III,4.00,MATE492,,0010,0
MATE,493,Senior Project Design III,3.00,MATE492,,0010,0
