MBC,101,Medical Terminology for Billers and Coders,3.00,,,1111,0
MBC,201,Medical Billing I,3,,,1111,0
MBC,202,Medical Billing II,3.00,MBC201,,1111,0
MBC,250,Medical Billing Software,3.00,MBC202,,1111,0
MBC,301,Physician-Based Medical Coding I,3.00,MBC201,,1111,0
MBC,302,Physician-Based Medical Coding II,3,MBC301,,1111,0
MBC,303,Hospital-Based Medical Coding I,3.00,MBC301,,1111,0
MBC,304,Hospital-Based Medical Coding II,3.00,MBC303,,1111,0
MBC,350,Physician-Based Chart Auditing,3.00,MBC302,,1111,0
MBC,360,Hospital-Based Case Studies,3.00,MBC304,,1111,0
